addy,lon,lat
"170 N 1100 E, American Fork, UT",-111.7671487,40.380148
"8th Ave , C St, Salt Lake City, UT",-111.8805635,40.7784981
"2400 N Washington Blvd, North Ogden, UT",-111.9677068,41.3009949
"9450 S 1300 E, Sandy, UT",-111.854251,40.5794726
"11520 S Redwood Rd, South Jordan, UT",-111.9393706,40.5424954
"250 W 300 N Ste 752, Roosevelt, UT",-109.9960162,40.3040875
"130 W Main, Mount Pleasant, UT",-111.4580044,39.5469735
"2075 N University Park Blvd, Layton, UT",-111.9886694,41.0904974
"905 N 1000 W, Tremonton, UT",-112.181747,41.71884439999999
"22 S State St, Clearfield, UT",-112.0264784,41.1129249
"9660 S 1300 E, Sandy, UT",-111.8539588,40.5759389
"445 N Main, Kanab, UT",-112.5292121,37.0558526
"601 E Center (Part time office - call for hours), Panguitch, UT",-112.4357638,37.82275509999999
"126 S White Sage Ave, Delta, UT",-112.5610124,39.350092
"454 E Medical Way, Heber City, UT",-111.4133234,40.5070087
"1303 N Main St, Cedar City, UT",-113.0664062,37.69958159999999
"151 W 200 N, Vernal, UT",-109.5316435,40.4578941
"64 E 100 N, Gunnison, UT",-111.8163356,39.1561864
"9844 S 1300 E Ste 175, Sandy, UT",-111.8540628,40.5726482
"Brighton Ski Resort, Brighton, UT",-111.583187,40.598019
"159 N Main St, Manti, UT",-111.6374264,39.2677591
"4401 Harrison Blvd, Ogden, UT",-111.9541663,41.1835776
"720 S River Rd Ste B205, St. George, UT",-113.5580163,37.0953591
"4387 S Harrison Blvd Ste D5, Ogden, UT",-111.9499759,41.1831342
"1400 N 500 E, Logan, UT",-111.8220181,41.7556987
"350 E 600 S, St. George, UT",-113.5757796,37.0978088
"674 S Highway 99, Fillmore, UT",-112.3397377,38.9638553
"458 W 800 N, Orem, UT",-111.70663,40.3125788
"450 W Williams Way, Moab, UT",-109.5594123,38.5751529
"(Home delivery services only), Salt Lake City, UT",-111.8648952,40.6994262
"3200 N Canyon Rd Ste D, Provo, UT",-111.6510547,40.27570590000001
"324 10th Ave Ste 107, Salt Lake City, UT",-111.8798653,40.7803692
"777 Hospital Way, Pocatello, ID",-112.4211813,42.8739657
"(Home Delivery Services Only), Salt Lake City, UT",-111.8648952,40.6994262
"870 E 9400 S Ste 112, Sandy, UT",-111.866402,40.5798002
"205 W 300 N, Roosevelt, UT",-109.9952472,40.3031542
"333 Knudsen BLVD, Chubbuck, ID",-112.4723078,42.9156641
"1175 E 50 S Ste 111, American Fork, UT",-111.767335,40.376311
"455 East South Temple, Salt Lake City, UT",-111.8779805,40.7697323
"12702 S Fort St, Draper, UT",-111.8655009,40.5208223
"1055 N 300 W Ste 410, Provo, UT",-111.6651625,40.2478693
"5121 Cottonwood St, Murray, UT",-111.8918515,40.6594122
"1034 N 500 W, Provo, UT",-111.6658617,40.2481222
"577 S River Rd, St. George, UT",-113.5558307,37.0983124
"1950 Circle of Hope Dr, Salt Lake City, UT",-111.8351442,40.7735964
"6271 S Dixie Dr Ste 200, West Jordan, UT",-111.977886,40.636253
"1205 E Bonner Way, Salt Lake City, UT",-111.8570914,40.6677492
"523 N Main St, Bountiful, UT",-111.879754,40.8952141
"4815 Center St, Murray, UT",-111.8859697,40.6667821
"389 S 900 E, Salt Lake City, UT",-111.8647326,40.761147
"39 Professional Way Ste 3, Payson, UT",-111.7125447,40.0437381
"9600 S 1300 E Ste 230, Sandy, UT",-111.8540173,40.5771071
"181 E Medical Tower Dr, Murray, UT",-111.8856292,40.644082
"250 E State Rd 73, Saratoga Springs, UT",-111.9107256,40.3881994
"3723 W 12600 S Ste 350, Riverton, UT",-111.980314,40.5205942
"575 S Kane Creek Blvd, Moab, UT",-109.5516397,38.5642171
"750 Round Valley Dr., Park City, UT",-111.4670164,40.6857807
"201 W Boise Ave, Boise, ID",-116.1840724,43.5860953
"703 Americana Blvd, Boise, ID",-116.2193111,43.6173901
"175 N Benjamin Ln, Boise, ID",-116.2885559,43.6067245
"220 3rd Ave S, Nampa, ID",-116.5703831,43.5839066
"780 S 14th St, Boise, ID",-116.2182628,43.6147193
"1127 Caldwell Blvd, Nampa, ID",-116.5969854,43.5999729
"345 N Main St Ste B, Brigham City, UT",-112.0162662,41.517951
"416 N State St, Hurricane, UT",-113.2825259,37.1826937
"3045 E St Lukes St Ste 105, Meridian, ID",-116.3567242,43.6005331
"527 W 400 N Ste 4, Orem, UT",-111.7092822,40.3037605
"2356 N 400 E Ste 103, Tooele, UT",-112.2923502,40.5719656
"1750 Sidewinder Dr, Park City, UT",-111.4988073,40.6638397
"3181 W 9000 S Ste 202, West Jordan, UT",-111.9662016,40.5871492
"(home delivery services only), St. George, UT",-113.5684164,37.0965278
"360 E Mallard Dr Ste 110, Boise, ID",-116.1792267,43.5969275
"9850 W St Luke's Dr Ste 129, Nampa, ID",-116.55978,43.5788175
"190 E Bannock St, Boise, ID",-116.1923716,43.6127523
"1350 Parkway Dr Ste 26, Blackfoot, ID",-112.3611853,43.1949455
"863 Main St, Lewiston, ID",-117.0216664,46.4199254
"510 Roosevelt St, American Falls, ID",-112.8489419,42.78146900000001
"8541 S Redwood Rd Ste A1, West Jordan, UT",-111.9382398,40.59612
"7268 S Bingham Junction Blvd Ste C1, Midvale, UT",-111.9186798,40.6180263
"854 S Turf Farm Rd Ste 1, Payson, UT",-111.7552245,40.0307862
"4815 Cleveland Blvd, Caldwell, ID",-116.6469193,43.6356094
"700 Caldwell Blvd, Nampa, ID",-116.5896277,43.5967785
"1115 12th Avenue Rd, Nampa, ID",-116.5733996,43.5571272
"6259 W Emerald St, Boise, ID",-116.2591165,43.6114016
"110 N Main St, Kamas, UT",-111.280497,40.6452921
"85 N 50 E, Coalville, UT",-111.3957149,40.9333722
"9720 S 1300 E Ste E230, Sandy, UT",-111.8537998,40.5748392
"(Reference Toxicology Labs Only), Preston, ID",-111.8766173,42.0963133
"(Home Delivery Services Only), Cedar City, UT",-113.0618931,37.67747689999999
